,artists,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
15,four tops,"i can't help myself (sugar pie, honey bunch)",0.703,0.563,0,-9.99,1,0.0294,0.374,0.0,0.0933,0.972,127.004,2
16,simon & garfunkel,"mrs. robinson - from ""the graduate"" soundtrack",0.606,0.457,6,-14.035,0,0.0497,0.713,2.53e-05,0.0747,0.813,92.033,4
17,dusty springfield,son of a preacher man,0.405,0.488,4,-10.784,1,0.0678,0.415,0.0,0.0753,0.806,181.624,1
18,the monkees,i'm a believer - 2006 remaster,0.526,0.775,0,-6.05,1,0.0352,0.707,2.05e-05,0.217,0.962,80.106,2
19,the drifters,under the boardwalk,0.747,0.226,7,-13.635,1,0.0414,0.908,0.000168,0.107,0.778,123.792,0
20,jackie wilson,(your love keeps lifting me) higher & higher,0.631,0.69,2,-6.676,1,0.0531,0.176,0.0,0.121,0.938,94.574,2
21,the supremes,you can't hurry love,0.63,0.711,10,-9.34,1,0.0472,0.299,0.0,0.0813,0.659,96.912,2
22,the beach boys,good vibrations - remastered 2001,0.403,0.495,10,-6.888,0,0.0312,0.387,8.03e-06,0.147,0.38,132.912,4
23,dusty springfield,i only want to be with you,0.582,0.818,7,-4.281,1,0.0332,0.236,0.0,0.253,0.954,132.946,2
24,stevie wonder,for once in my life,0.524,0.519,6,-11.903,1,0.043,0.195,0.0,0.523,0.847,110.121,2
25,harry nilsson,"everybody's talkin' - from ""midnight cowboy""",0.402,0.493,4,-9.99,1,0.0357,0.235,3.05e-05,0.229,0.692,124.103,2
26,simon & garfunkel,homeward bound,0.485,0.378,3,-11.773,1,0.0337,0.831,0.0,0.103,0.528,92.928,0
27,"peter, paul and mary",leaving on a jet plane,0.414,0.167,9,-16.519,1,0.0484,0.804,0.0,0.117,0.384,133.45,0
28,creedence clearwater revival,proud mary,0.699,0.641,2,-7.564,1,0.0289,0.13,0.000218,0.0601,0.728,120.745,2
29,marvin gaye,i heard it through the grapevine,0.711,0.362,3,-10.851,0,0.0381,0.272,0.0,0.127,0.616,117.287,4
30,the spencer davis group,gimme some lovin' - single mix,0.493,0.688,7,-8.143,1,0.0321,0.0126,0.256,0.38,0.533,147.403,2
31,the righteous brothers,you've lost that lovin' feelin',0.366,0.317,1,-13.976,1,0.027,0.541,0.0,0.0865,0.398,94.108,0
32,sam cooke,cupid,0.474,0.478,7,-8.951,1,0.0343,0.484,0.0,0.0833,0.831,120.326,2
33,them,gloria (feat. van morrison) - stereo version,0.641,0.703,9,-10.434,1,0.0518,0.397,0.00546,0.104,0.722,129.118,2
34,bob dylan,"lay, lady, lay",0.52,0.179,11,-21.976,0,0.0454,0.356,0.00344,0.131,0.407,155.746,4
35,martha reeves & the vandellas,dancing in the street - single version,0.561,0.883,11,-1.737,0,0.0367,0.0405,0.0305,0.112,0.749,126.203,4
36,the drifters,save the last dance for me,0.54,0.53,4,-10.583,1,0.0361,0.614,0.0,0.198,0.896,143.453,2
37,sly & the family stone,everyday people,0.807,0.497,7,-10.656,1,0.0297,0.307,0.0327,0.043,0.765,114.524,2
38,the beatles,eight days a week - remastered 2009,0.652,0.583,9,-7.811,1,0.038,0.412,0.0,0.119,0.744,138.134,2
39,the supremes,where did our love go - stereo version,0.562,0.54,0,-7.875,1,0.0365,0.803,3.86e-06,0.106,0.793,134.676,2
40,the beach boys,wouldn't it be nice - mono / remastered,0.396,0.686,5,-5.607,1,0.0341,0.725,1.04e-06,0.17,0.717,124.318,2
41,the mamas & the papas,california dreamin' - single version,0.557,0.698,1,-7.471,0,0.039,0.472,0.0,0.057,0.677,112.479,4
42,sam cooke,another saturday night,0.776,0.659,9,-7.767,1,0.051,0.434,0.0,0.0868,0.969,123.094,2
43,petula clark,downtown,0.495,0.629,4,-6.817,1,0.0431,0.695,0.0,0.164,0.545,118.515,2
44,stevie wonder,a place in the sun,0.561,0.447,1,-11.389,1,0.0544,0.279,0.0,0.319,0.729,117.784,2
45,roy orbison,"oh, pretty woman",0.619,0.603,9,-9.481,1,0.0342,0.712,0.0,0.0721,0.958,127.433,2
46,the drifters,up on the roof,0.693,0.29,8,-17.501,1,0.0334,0.706,1.49e-05,0.137,0.92,121.795,0
47,wilson pickett,in the midnight hour,0.75,0.444,4,-8.63,1,0.0403,0.12,3.69e-06,0.118,0.849,111.919,2
48,the band,the weight - remastered,0.63,0.519,9,-10.997,1,0.0528,0.225,4.3e-06,0.0974,0.502,143.942,2
49,the beach boys,don't worry baby - remastered 2001,0.487,0.464,4,-9.821,1,0.03,0.0666,0.00531,0.105,0.851,121.242,2
50,tom jones,it's not unusual,0.346,0.716,0,-10.001,1,0.0735,0.571,0.0,0.189,0.904,184.499,1
51,simon & garfunkel,the boxer,0.439,0.488,11,-14.464,1,0.0615,0.702,0.000339,0.16,0.629,93.017,0
52,the mamas & the papas,"monday, monday - single version",0.493,0.467,1,-11.183,1,0.0289,0.757,0.0,0.388,0.731,110.553,0
